title,released_year,rated_class,run_time,stars,total_ratings,genre,summary
The Last Voyage of the Demeter,2023.0,14A,1h 58m,6.1,45K,Fantasy|Horror,A crew sailing from Varna (Bulgaria) by the Black Sea to England find that they are carrying very dangerous cargo.
Strays,2023.0,14A,1h 33m,6.3,27K,Adventure|Comedy,An abandoned dog teams up with other strays to get revenge on his former owner.
The Voyeurs,2021.0,18+,1h 56m,6.1,30K,Drama|Mystery|Thriller,"Pippa and Thomas move into their dream apartment, they notice that their windows look directly into the apartment opposite, this will set in motion a chain of events that will lead to disaster."
A Quiet Place: Day One,2024.0,,,,,Drama|Horror|Sci-Fi,Experience the day the world went quiet.
The Boy and the Heron,2023.0,PG,2h 4m,7.6,45K,Animation|Adventure|Drama,"A young boy named Mahito yearning for his mother ventures into a world shared by the living and the dead. There, death comes to an end, and life finds a new beginning."
Furiosa: A Mad Max Saga,2024.0,,,,,Action|Adventure|Sci-Fi,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Parasite,2019.0,14A,2h 12m,8.5,940K,Drama|Thriller,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Se7en,1995.0,AA,2h 7m,8.6,1.8M,Crime|Drama|Mystery,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
The Princess Bride,1987.0,PG,1h 38m,8.0,449K,Adventure|Comedy|Family,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
Small Things Like These,2024.0,,1h 36m,7.2,212,Drama|History,In 1985 devoted father and Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.
The Promised Land,2023.0,14A,2h 7m,7.7,12K,Biography|Drama|History,The story of Ludvig Kahlen who pursued his lifelong dream: To make the heath bring him wealth and honor.
Ghostbusters: Afterlife,2021.0,PG,2h 4m,7.1,210K,Adventure|Comedy|Fantasy,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind."
